timestamp,action,product,quantity,unit,old_stock,new_stock,price,total_amount
2025-11-06 20:29:04,sale,चीनी,2.0,किलो,60,58.0
2025-11-06 20:30:48,sale,दूध,2.0,लीटर,40,38.0
2025-11-06 20:30:48,sale,आटा,3.0,किलो,100,97.0
2025-11-06 20:30:52,sale,लेस,2.0,पैकेट,50,48.0
2025-11-06 20:30:53,sale,कोक,2.0,बोतल,40,38.0
2025-11-06 20:30:54,sale,पारले जी,2.0,पैकेट,100,98.0
2025-11-06 20:30:55,sale,पारले जी,2.0,पैकेट,98.0,96.0
2025-11-06 20:36:51,sale,आटा,20.0,किलो,100,80.0
2025-11-06 20:36:51,sale,कोक,2.0,बोतल,40,38.0
2025-11-06 20:43:00,sale,कोक,2.0,बोतल,38.0,36.0
2025-11-06 20:43:00,sale,आटा,2.0,किलो,80.0,78.0
2025-11-06 20:49:15,sale,कोक,2.0,बोतल,40,38.0
2025-11-06 21:10:17,sale,लेस,2.0,पैकेट,50,48.0
2025-11-06 21:10:19,sale,लेस,2.0,पैकेट,48.0,46.0
2025-11-06 21:10:19,sale,कोक,2.0,बोतल,40,38.0
2025-11-06 21:23:35,sale,टाटा नमक,2.0,किलो,80,78.0
2025-11-06 21:23:37,sale,टाटा नमक,2.0,पैकेट,78.0,76.0
2025-11-06 21:46:33,sale,दूध,2.0,लीटर,40,38.0
2025-11-06 21:49:37,sale,दूध,2.0,लीटर,40,38.0
2025-11-06 21:49:39,sale,दाल,2.0,किलो,80,78.0
2025-11-06 21:49:40,sale,चावल,10.0,किलो,150,140.0
2025-11-07 09:43:25,sale,चावल,2.0,किलो,150,148.0
2025-11-07 09:44:23,sale,चीनी,5.0,किलो,60,55.0
2026-02-16 11:51:22,sale,तेल,1.0,लीटर,50,49.0
2026-02-16 11:51:38,restock,तेल,1.0,लीटर,49.0,50.0
2026-02-16 11:51:47,restock,तेल,1.0,लीटर,50.0,51.0
2026-02-17 21:31:31,sale,चावल,2.0,किलो,150,148.0,60,120.0
2026-02-17 21:33:17,sale,चावल,2.0,किलो,148.0,146.0,60,120.0
2026-02-17 21:41:37,sale,दूध,2.0,लीटर,40,38.0,66,132.0
2026-02-17 21:44:53,sale,आटा,1.0,किलो,100,99.0,50.0,50.0
2026-02-17 21:45:02,sale,चावल,2.0,किलो,150,148.0,60,120.0
2026-03-16 14:17:48,sale,चाय,3.0,किलो,5,2.0,450,1350.0
2026-03-16 14:17:49,sale,चावल,4.0,किलो,150,146.0,60,240.0
2026-03-16 14:17:50,sale,दूध,2.0,लीटर,40,38.0,66,132.0
2026-03-16 14:48:30,sale,चाय,3.0,किलो,5,2.0,450,1350.0
